Pathway,Description,Pathway_Genes,Overlap_Genes,Overlap_Ratio,P_Value,Log_P_Value,Odds_Ratio,Genes,P_Adj
hsa04210,,7,6,0.75,1.2323475573339238e-14,9.999946483123107,0.75,"CASP3, BAX, CASP9, BCL2, TP53, FAS",2.4646951146678475e-13
hsa04140,,6,4,0.5714285714285714,2.3028909890143723e-09,8.619265931211665,0.5714285714285714,"ATG5, SQSTM1, ULK1, BECN1",2.3028909890143723e-08
hsa04080,,6,3,0.42857142857142855,8.878066698470022e-07,6.0516326816320065,0.42857142857142855,"DRD2, GRIN1, GABRA1",3.5512266793880087e-06
hsa04720,,6,3,0.42857142857142855,8.878066698470022e-07,6.0516326816320065,0.42857142857142855,"GRIN1, CAMK2A, GRIN2A",3.5512266793880087e-06
hsa04137,,6,3,0.42857142857142855,8.878066698470022e-07,6.0516326816320065,0.42857142857142855,"BCL2, BAX, CASP9",3.5512266793880087e-06
hsa00480,,6,2,0.2857142857142857,0.00018992705089426742,3.7214129465810575,0.2857142857142857,"GPX1, GPX4",0.0006330901696475582
hsa04722,,7,2,0.25,0.00026527801422182584,3.5762985783808987,0.25,"NT3, BDNF",0.000757937183490931
hsa05014,,6,1,0.14285714285714285,0.021409182836402252,1.669399906875715,0.14285714285714285,SOD1,0.042818365672804504
hsa05016,,6,1,0.14285714285714285,0.021409182836402252,1.669399906875715,0.14285714285714285,BDNF,0.042818365672804504
hsa04064,,6,1,0.14285714285714285,0.021409182836402252,1.669399906875715,0.14285714285714285,NFKB1,0.042818365672804504
hsa00280,,5,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa00190,,6,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa05010,,7,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa04010,,7,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa04721,,6,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa04713,,7,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa05020,,5,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa05012,,7,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa04014,,6,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
hsa00860,,6,0,0.0,1.0,-4.342945178152237e-11,0.0,,1.0
