Gene,Pathway,Pathway_Description,Function,type,active_site,inhibitors,pdb_available,note,cleavage_sites,metal_binding,signal,blockers,cofactor,mutations,receptor
REN,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Aspartic protease,Aspartyl residue,Aliskiren,True,直接肾素抑制剂,,,,,,,
AGT,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Serpin family,,,True,是肾素和ACE的底物,"['Renin site', 'ACE site']",,,,,,
ACE,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Metalloproteinase,HEXXH motif,"Captopril, Lisinopril (结合Zn2+位点)",True,ACE抑制剂通过竞争性结合Zn2+位点发挥作用,,Zn2+ (HEMICINE),,,,,
ACE2,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
AGTR1,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,GPCR (7TM),,,True,AT1受体拮抗剂(沙坦类)是常用降压药,,,Gq/11 protein,"Losartan, Valsartan (ARB类药物)",,,
AGTR2,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
AGTRAP,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
MAS1,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
LRP1,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
NPPA,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
NPPB,RAAS,肾素-血管紧张素-醛固酮系统,血压调节核心通路,Unknown,,,,需要进一步研究,,,,,,,
NOS3,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Oxidoreductase,,"L-NAME, L-NMMA",True,铅可能取代Zn2+或Fe2+，干扰NO合成,,"Zn2+, Fe2+ (heme)",,,BH4 (四氢生物蝶呤),,
NOS2,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
NOS1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
SOD1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Oxidoreductase,,,True,铅可能取代Zn2+，导致SOD失活,,"Cu+, Zn2+",,,,与肌萎缩侧索硬化相关,
SOD2,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
CAT,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Oxidoreductase,,,True,铅可能干扰血红素合成,,Heme (Fe),,,,,
GPX1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
NQO1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
HMOX1,Oxidative_Stress,氧化应激与血管功能,NO生物利用度下降,Unknown,,,,需要进一步研究,,,,,,,
